"type","type_title","title","title_short","variable","category","lever","colorOfScenario","alphaOfScenario","scaleLow","scaleHigh","leverLevels","alwaysKeep"
"year","year","2018","2018","2018",NA,NA,NA,NA,0,1,NA,NA
"place","place","San Francisco","sf","sf",NA,NA,NA,NA,0,1,NA,NA
"category","category_tr","Transit","tr","tr","tr",NA,NA,NA,0,1,NA,NA
"lever","lever_fq","Frequency","fq","fq",NA,"fq",NA,NA,0,1,NA,NA
"category","category_rh","Ride Hail","rh","rh","rh",NA,NA,NA,0,1,NA,NA
"lever","lever_flsz","Fleet Size","flsz","flsz",NA,"flsz",NA,NA,0,1,"[1] 0.25 1.00 1.75",NA
"yvar","yvar_doorDoor","Door-to-door Travel Time","doorDoor","duration",NA,NA,NA,NA,1e-6,60,NA,NA
"yvar","yvar_potInex","Potential INEXUS","potInex","Potential_INEXUS_in_dollar",NA,NA,NA,NA,24,3,NA,NA
"yvar","yvar_realInex","Realized INEXUS","realInex","Realized_INEXUS_in_dollar",NA,NA,NA,NA,24,3,NA,NA
"yvar","yvar_socInex","Social INEXUS","socInex","Social_INEXUS",NA,NA,NA,NA,24,3,NA,NA
"hetvar","hetvar_carOwn","Car Ownership","carOwn","ownCarYNLabel",NA,NA,NA,NA,0,4,NA,NA
"hetvar","hetvar_Inc10hiLo","Highest and Lowest 10% Income","Inc10hiLo","l_inc_HiLo10",NA,NA,NA,NA,0,11,NA,NA
"yvar","yvar_mode","Mode Choice","mode","mode_choice_actual_6",NA,NA,NA,NA,0,8,NA,NA
"yvar","yvar_mode","Mode Choice","mode","mode_4categories",NA,NA,NA,NA,0,8,NA,NA
"hetvar","hetvar_incXcar","Income and Car","incXcar","incomeXcar",NA,NA,NA,NA,0,11,NA,NA
"yvar","yvar_carbon","Emissions (Cost of Carbon)","carbon","socialCarbonCost",NA,NA,NA,NA,0,24,NA,NA
"generic","generic_plot","DataLens Plot","generic","generic",NA,NA,NA,NA,-50,50,NA,NA
