mode,duration
bike,702.3987996688742
bus,73.49005925423869
bus_empty,78.36150960178807
cable_car,47.96044613084972
cable_car_empty,45.23558376189955
car,449.2661942392362
car_RideHail,476.20897803247374
car_RideHail_Pool,279.1511627906977
car_RideHail_empty,163.31623230043095
car_emer,415.3989834815756
car_hov2,465.01607777742817
car_hov2_emer,418.03125
car_hov3,439.41235792519115
car_hov3_emer,511.8780048076923
ferry,2700.0
ferry_empty,1752.6315789473683
rail,509.6551724137931
rail_empty,440.0
subway,166.5
subway_empty,176.57142857142858
tram,99.08137029589199
tram_empty,100.53729396418831
walk,784.9179051452729
