mode,length
bike,33939898.838
bus,84443946.325
bus_empty,83284305.581
cable_car,1029568.974768156
cable_car_empty,1097799.5246650723
car,1952630011.942
car_RideHail,45991403.7
car_RideHail_Pool,373979.27200000006
car_RideHail_empty,13181910.177000001
car_emer,74868062.97
car_hov2,277471202.522
car_hov2_emer,19172173.691
car_hov3,200173196.882
car_hov3_emer,16503863.325
ferry,140987.89463026586
ferry_empty,718540.7400494117
rail,1321716.571870553
rail_empty,144129.70788232118
subway,11916161.10500244
subway_empty,578276.2752546038
tram,13507802.72021953
tram_empty,6733168.437826308
walk,352382530.3731987
