mode,primaryFuelType,primaryFuel
bike,Gasoline,214483955.6958
bus,Diesel,575861930565.4281
bus_empty,Diesel,591121990859.1852
cable_car,Electricity,0.0
cable_car_empty,Electricity,0.0
car,Electricity,1163030002.2599947
car,Gasoline,1833913279102.861
car_RideHail,Electricity,4450298.107974662
car_RideHail,Gasoline,66255120148.0617
car_RideHail_Pool,Gasoline,364456799.7020263
car_RideHail_empty,Electricity,16329689.954192484
car_RideHail_empty,Gasoline,14723853918.548988
car_emer,Gasoline,85185225564.96123
car_hov2,Electricity,104358607.38916688
car_hov2,Gasoline,296330757748.7615
car_hov2_emer,Gasoline,24961392620.367775
car_hov3,Electricity,194037541.40855202
car_hov3,Gasoline,205907792362.84665
car_hov3_emer,Gasoline,16193837362.200754
ferry,Diesel,0.0
ferry_empty,Diesel,0.0
rail,Diesel,0.0
rail_empty,Diesel,0.0
subway,Electricity,0.0
subway_empty,Electricity,0.0
tram,Electricity,0.0
tram_empty,Electricity,0.0
walk,Food,4346631075.399
