mode,primaryFuelType,primaryFuel
bike,Gasoline,370001888.6512
bus,Diesel,1629168345130.98
bus_empty,Diesel,1665841473921.559
cable_car,Electricity,0.0
cable_car_empty,Electricity,0.0
car,Electricity,2737934584.3931994
car,Gasoline,4008579127207.3174
car_RideHail,Electricity,94079513.93296257
car_RideHail,Gasoline,105437897273.17874
car_RideHail_Pool,Electricity,12733369.943141025
car_RideHail_Pool,Gasoline,1267006275.1429312
car_RideHail_empty,Electricity,45958086.574939854
car_RideHail_empty,Gasoline,33858450346.913063
car_emer,Gasoline,165017730640.0081
car_hov2,Electricity,189618448.47712412
car_hov2,Gasoline,579617886953.6938
car_hov2_emer,Gasoline,49534528265.95029
car_hov3,Electricity,303405886.68996793
car_hov3,Gasoline,420686627189.3015
car_hov3_emer,Gasoline,37386498320.95396
ferry,Diesel,0.0
ferry_empty,Diesel,0.0
rail,Diesel,0.0
rail_empty,Diesel,0.0
subway,Electricity,0.0
subway_empty,Electricity,0.0
tram,Electricity,0.0
tram_empty,Electricity,0.0
walk,Food,8717957982.038
